Batsman,Balls,Runs,Strike Rate,,,,,,,
AD Russell,754,1415,187.67,,,,,,,
RR Pant,1071,1767,164.99,,Batsman Strike Rate,,,,,
GJ Maxwell,868,1401,161.41,,,,,,,
HH Pandya,692,1086,156.94,,,,,,,
V Sehwag,1755,2728,155.44,,,,,,,
JC Buttler,922,1408,152.71,,,,,,,
CH Gayle,2981,4533,152.06,,,,,,,
AB de Villiers,2911,4416,151.7,,,,,,,
KA Pollard,1881,2772,147.37,,,,,,,
KH Pandya,610,898,147.21,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Batsman,Runs,Dismissals,Seasons,Average,,Batsman Average,,,,
HM Amla,577,13,2,44.38,,,,,,
Iqbal Abdulla,88,2,8,44,,,,,,
DA Warner,4741,110,10,43.1,,,,,,
KL Rahul,2013,47,6,42.83,,,,,,
MS Dhoni,4477,105,12,42.64,,,,,,
CH Gayle,4560,109,11,41.83,,,,,,
AB de Villiers,4428,110,12,40.25,,,,,,
JP Duminy,2041,51,8,40.02,,,,,,
LMP Simmons,1079,27,4,39.96,,,,,,
SE Marsh,2489,63,9,39.51,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Batsman,Boundry,Season,,,,,,,,
CH Gayle,3466,11,,,,,,,,
SK Raina,3155,12,,Boundry Batsman,,,,,,
V Kohli,3074,12,,,,,,,,
DA Warner,2932,10,,,,,,,,
RG Sharma,2900,12,,,,,,,,
AB de Villiers,2712,12,,,,,,,,
RV Uthappa,2700,12,,,,,,,,
S Dhawan,2695,12,,,,,,,,
SR Watson,2448,11,,,,,,,,
MS Dhoni,2444,12,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Bowler,Runns,Ball,Economy Rate,,,,,,,
A Kumble,1089,983,0.18,,Economy Bowler,,,,,
DW Steyn,2454,2207,0.19,,,,,,,
J Botha,818,709,0.19,,,,,,,
M Muralitharan,1765,1581,0.19,,,,,,,
Rashid Khan,1257,1106,0.19,,,,,,,
SP Narine,2939,2600,0.19,,,,,,,
R Ashwin,3391,3016,0.19,,,,,,,
DL Vettori,894,785,0.19,,,,,,,
B Lee,1126,916,0.2,,,,,,,
A Mishra,3850,3172,0.2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Bowler,Balls,Wicket,Strike Rate,,Bowler Striker,,,,,
DE Bollinger,600,43,13.95,,,,,,,
AJ Tye,618,43,14.37,,,,,,,
NM Coulter-Nile,586,39,15.03,,,,,,,
S Gopal,593,39,15.21,,,,,,,
Imran Tahir,1249,82,15.23,,,,,,,
MA Starc,612,39,15.69,,,,,,,
SL Malinga,2974,188,15.82,,,,,,,
DJ Bravo,2711,168,16.14,,,,,,,
A Singh,551,34,16.21,,,,,,,
A Nehra,1974,121,16.31,,,,,,,
,,,,,,,,,,
Player,Ball Faced by Batsman,Runs ,Batting Strike Rate,Balls Bowled by Baller,Wicket,Balling Strike Rate,,,,
AD Russell,754,1415,187.67,1072,60,17.87,,,,
GJ Maxwell,868,1401,161.41,432,17,25.41,,,,
HH Pandya,692,1086,156.94,914,45,20.31,,,,
CH Gayle,2981,4533,152.06,579,19,30.47,,,,
KA Pollard,1881,2772,147.37,1276,67,19.04,,,,All Rounder
KH Pandya,610,898,147.21,968,42,23.05,,,,
ST Jayasuriya,532,768,144.36,301,16,18.81,,,,
YK Pathan,2245,3228,143.79,1184,46,25.74,,,,
JA Morkel,687,975,141.92,1807,96,18.82,,,,
SR Watson,2568,3591,139.84,2137,107,19.97,,,,
